matchday,year_month,date,home,away,date_text
1,2023-08-01,2023-08-20,Borussia Dortmund,1. FC Köln,19.08. ~ 20.08.2023
1,2023-08-01,2023-08-20,1. FC Union Berlin,1. FSV Mainz 05,19.08. ~ 20.08.2023
1,2023-08-01,2023-08-20,Bayer 04 Leverkusen,RB Leipzig,19.08. ~ 20.08.2023
1,2023-08-01,2023-08-20,Eintracht Frankfurt,SV Darmstadt 98,19.08. ~ 20.08.2023
1,2023-08-01,2023-08-20,VfL Wolfsburg,1. FC Heidenheim,19.08. ~ 20.08.2023
1,2023-08-01,2023-08-20,TSG Hoffenheim,SC Freiburg,19.08. ~ 20.08.2023
1,2023-08-01,2023-08-20,FC Augsburg,Borussia Mönchengladbach,19.08. ~ 20.08.2023
1,2023-08-01,2023-08-20,VfB Stuttgart,VfL Bochum,19.08. ~ 20.08.2023
1,2023-08-01,2023-08-18,Werder Bremen,Bayern München,"Freitag,18.08.202320:30 Uhr"
2,2023-08-01,2023-08-27,Bayern München,FC Augsburg,25.08. ~ 27.08.2023
2,2023-08-01,2023-08-27,RB Leipzig,VfB Stuttgart,25.08. ~ 27.08.2023
2,2023-08-01,2023-08-27,SC Freiburg,Werder Bremen,25.08. ~ 27.08.2023
2,2023-08-01,2023-08-27,1. FSV Mainz 05,Eintracht Frankfurt,25.08. ~ 27.08.2023
2,2023-08-01,2023-08-27,Borussia Mönchengladbach,Bayer 04 Leverkusen,25.08. ~ 27.08.2023
2,2023-08-01,2023-08-27,1. FC Köln,VfL Wolfsburg,25.08. ~ 27.08.2023
2,2023-08-01,2023-08-27,VfL Bochum,Borussia Dortmund,25.08. ~ 27.08.2023
2,2023-08-01,2023-08-27,1. FC Heidenheim,TSG Hoffenheim,25.08. ~ 27.08.2023
2,2023-08-01,2023-08-27,SV Darmstadt 98,1. FC Union Berlin,25.08. ~ 27.08.2023
3,2023-09-01,2023-09-03,Borussia Dortmund,1. FC Heidenheim,01.09. ~ 03.09.2023
3,2023-09-01,2023-09-03,1. FC Union Berlin,RB Leipzig,01.09. ~ 03.09.2023
3,2023-09-01,2023-09-03,Bayer 04 Leverkusen,SV Darmstadt 98,01.09. ~ 03.09.2023
3,2023-09-01,2023-09-03,Eintracht Frankfurt,1. FC Köln,01.09. ~ 03.09.2023
3,2023-09-01,2023-09-03,Borussia Mönchengladbach,Bayern München,01.09. ~ 03.09.2023
3,2023-09-01,2023-09-03,TSG Hoffenheim,VfL Wolfsburg,01.09. ~ 03.09.2023
3,2023-09-01,2023-09-03,Werder Bremen,1. FSV Mainz 05,01.09. ~ 03.09.2023
3,2023-09-01,2023-09-03,FC Augsburg,VfL Bochum,01.09. ~ 03.09.2023
3,2023-09-01,2023-09-03,VfB Stuttgart,SC Freiburg,01.09. ~ 03.09.2023
4,2023-09-01,2023-09-17,Bayern München,Bayer 04 Leverkusen,15.09. ~ 17.09.2023
4,2023-09-01,2023-09-17,RB Leipzig,FC Augsburg,15.09. ~ 17.09.2023
4,2023-09-01,2023-09-17,SC Freiburg,Borussia Dortmund,15.09. ~ 17.09.2023
4,2023-09-01,2023-09-17,VfL Wolfsburg,1. FC Union Berlin,15.09. ~ 17.09.2023
4,2023-09-01,2023-09-17,1. FSV Mainz 05,VfB Stuttgart,15.09. ~ 17.09.2023
4,2023-09-01,2023-09-17,1. FC Köln,TSG Hoffenheim,15.09. ~ 17.09.2023
4,2023-09-01,2023-09-17,VfL Bochum,Eintracht Frankfurt,15.09. ~ 17.09.2023
4,2023-09-01,2023-09-17,1. FC Heidenheim,Werder Bremen,15.09. ~ 17.09.2023
4,2023-09-01,2023-09-17,SV Darmstadt 98,Borussia Mönchengladbach,15.09. ~ 17.09.2023
5,2023-09-01,2023-09-24,Bayern München,VfL Bochum,22.09. ~ 24.09.2023
5,2023-09-01,2023-09-24,Borussia Dortmund,VfL Wolfsburg,22.09. ~ 24.09.2023
5,2023-09-01,2023-09-24,1. FC Union Berlin,TSG Hoffenheim,22.09. ~ 24.09.2023
5,2023-09-01,2023-09-24,Bayer 04 Leverkusen,1. FC Heidenheim,22.09. ~ 24.09.2023
5,2023-09-01,2023-09-24,Eintracht Frankfurt,SC Freiburg,22.09. ~ 24.09.2023
5,2023-09-01,2023-09-24,Borussia Mönchengladbach,RB Leipzig,22.09. ~ 24.09.2023
5,2023-09-01,2023-09-24,Werder Bremen,1. FC Köln,22.09. ~ 24.09.2023
5,2023-09-01,2023-09-24,FC Augsburg,1. FSV Mainz 05,22.09. ~ 24.09.2023
5,2023-09-01,2023-09-24,VfB Stuttgart,SV Darmstadt 98,22.09. ~ 24.09.2023
6,2023-10-01,2023-10-01,RB Leipzig,Bayern München,29.09. ~ 01.10.2023
6,2023-10-01,2023-10-01,SC Freiburg,FC Augsburg,29.09. ~ 01.10.2023
6,2023-10-01,2023-10-01,VfL Wolfsburg,Eintracht Frankfurt,29.09. ~ 01.10.2023
6,2023-10-01,2023-10-01,1. FSV Mainz 05,Bayer 04 Leverkusen,29.09. ~ 01.10.2023
6,2023-10-01,2023-10-01,1. FC Köln,VfB Stuttgart,29.09. ~ 01.10.2023
6,2023-10-01,2023-10-01,TSG Hoffenheim,Borussia Dortmund,29.09. ~ 01.10.2023
6,2023-10-01,2023-10-01,VfL Bochum,Borussia Mönchengladbach,29.09. ~ 01.10.2023
6,2023-10-01,2023-10-01,1. FC Heidenheim,1. FC Union Berlin,29.09. ~ 01.10.2023
6,2023-10-01,2023-10-01,SV Darmstadt 98,Werder Bremen,29.09. ~ 01.10.2023
7,2023-10-01,2023-10-08,Bayern München,SC Freiburg,06.10. ~ 08.10.2023
7,2023-10-01,2023-10-08,Borussia Dortmund,1. FC Union Berlin,06.10. ~ 08.10.2023
7,2023-10-01,2023-10-08,RB Leipzig,VfL Bochum,06.10. ~ 08.10.2023
7,2023-10-01,2023-10-08,Bayer 04 Leverkusen,1. FC Köln,06.10. ~ 08.10.2023
7,2023-10-01,2023-10-08,Eintracht Frankfurt,1. FC Heidenheim,06.10. ~ 08.10.2023
7,2023-10-01,2023-10-08,Borussia Mönchengladbach,1. FSV Mainz 05,06.10. ~ 08.10.2023
